title;corresponding_author;author_2;author_3;country_corresponding_author;country_author2;country_author3;language;year_of_publication;family_studied;marine_realm;environment;ecological_community;minimum_depth;maximum_depth;province;approach;cryptic_or_cosmopolitan_species;molecular_data;molecular_marker;human_impact
Ecology and biogeography of megafauna and macrofauna at the first known deep-sea hydrothermal vents on the ultraslow-spreading Southwest Indian Ridge;j. t. copley;l. marsh;a. g. glover;United Kingdom;United Kingdom;United Kingdom;english;2016;polynoidae,hesionidae,ampharetidae,dorvilleidae,spionidae;27,24,21,18,19;marine;benthos;2800;2800;abyssal;phylogeography,faunal similarity (cluster analysis),ecological statistical analysis;no;yes ; COI;no
Investigation of population structure in Gulf of Mexico Seepiophila jonesi (Polychaeta, Siboglinidae) using cross-amplified microsatellite fluids fuel biological communities. ;d. a. cowart;c. huang;s. w. schaeffer;United States of America;United States of America;United States of America;english;2016;siboglinidae;11;marine;benthos;528;932;bathyal;none;no;yes ; COI, 16S, 48 loci de microsatelites;no
Deep-sea whale fall fauna from the Atlantic resembles that of the Pacific Ocean;p. y. g. sumida;j. m. alfaro-lucas;m. shimabukuro;Brazil;Brazil;Brazil;english;2016;dorvilleidae,nereididae,hesionidae,ampharetidae,siboglinidae,chaetopteridae,cirratulidae,spionidae,capitellidae,polynoidae,sphaerodoridae,chrysopetalidae;21;marine;benthos;4204;4204;abyssal;faunal affinity;no;yes ; COI;no
 Bioengineers and their associated fauna respond differently to the effects of biogeography and upwelling.;v. j. cole;c. d. mcquaid;NA;South Africa;South Africa;;english;2010;NA;27;marine;benthos;0;0;littoral;faunal similarity (cluster analysis),ecological statistical analysis;no;no;;no
Evolution of poecilogony and the biogeography of North American populations of the polychaete Streblospio;y. sun;e. wong;s. t. ahyong;Australia;Australia;Australia;english;2000;spionidae;11,7;brackish;benthos;0;0;littoral;phylogeography;yes;yes ; COI;no
Species delimitation in Amblyosyllis (Annelida, Syllidae);m. t. aguado;m. capa;d. lago-barcia;Spain;Spain;Brazil;english;2019;syllidae;4,3,5,18,11,7,25,26,28;marine,brackish;benthos;0;250;littoral,sublittoral,bathyal;phylogeography;yes;yes ; COI, 16s, 28s;no
Predicting the Dispersal Potential of an Invasive Polychaete Pest along a Complex Coastal Biome;a. a. david;c. a. matthee;b. r. loveday;South Africa;United States of America;United Kingdom;english;2016;spionidae;27;marine;benthos;0;0;littoral;phylogeography, ecological statistical analysis;no;yes ; cyt b, ATP?S;yes
Phylogeography and reproductive variation of the poecilogonous polychaete Boccardia proboscidea (Annelida: Spionidae) along the West Coast of North America;k. m. halanych;f. x. oyarzun;a. r. mahon;United States of America;United States of America;United States of America;english;2011;spionidae;7;marine;benthos;0;0;littoral;phylogeography;no;yes ; cyt b, 16s;no
Determining gene flow and the influence of selection across the equatorial barrier of the East Pacific Rise in the tube-dwelling polychaete Alvinella pompejana;d. jollivet;s. plouviez;d. le guen;France;France;France;english;2010;alvinellidae;12,22,10;marine;benthos;2500;2846;abyssal;phylogeography;no;yes ; COI, SAHH, Globx, PGM, aloenzimas;no
When gaps really are gaps: statistical phylogeography of hydrothermal vent invertebrates;a. audzijonyte;r. c. vrijenhoek;NA;United States of America;United States of America;;english;2010;polynoidae,siboglinidae;12,22,10;marine;benthos;2300;2700;abyssal;experimental biogeography,phylogeography;yes;yes ; mtCOI, aloenzimas;no
